id,hook,title,for,cat,link,comentarios,thumb
ig-DKYAYS8p9lz,POV : You're both singers who grew up in church Part 2,Always the air bass All my worship leaders tap,vocalist/rapper,"vibes, transition hook, performance",https://www.instagram.com/reel/DKYAYS8p9lz/?igsh=MWNsZDI4emwwcHU5eg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/619eec0cd982813b433d4609bf82962ba6e3a8b7.jpg
ig-DJzsBrvTKTg,,Vibes · Performance · Transition Hook,vocalist/rapper,"vibes, performance, transition hook",https://www.instagram.com/reel/DJzsBrvTKTg/?igsh=MWE0bnBlYXFteW41Mg==,,
ig-DJaH4DPBMHp,,Somewhere Only We Know - @keaneofficial,vocalist/rapper,"vibes, relatable, transition hook, performance",https://www.instagram.com/reel/DJaH4DPBMHp/?igsh=MWF6eGQyeW5wYjBlMg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/5506273db628fd4d0f048619df1ff31cd7cd8bee.jpg
ig-DMofxImps4Y,,whyd you have to do us like that? @theparadoxband,,"vibes, performance, transition hook",https://www.instagram.com/reel/DMofxImps4Y/?igsh=MWU5MzFqamNrMmg2Zw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/95568b40eed1babf0d491747f8bfc6b71495095a.jpg
ig-DNlMBzvRJbR,,"How did we do? ""LOCK ME OUT"" is out",producer,"storytelling, performance, educational",https://www.instagram.com/reel/DNlMBzvRJbR/?igsh=MWpmOW1kdTNrd2FtMA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c6dfe94ea8cf7be95a8755226db7d12f77d4ca0e.jpg
ig-DOMYpNUiXzj,,POV: What its actually like,vocalist/rapper,"vibes, relatable, performance, transition hook",https://www.instagram.com/reel/DOMYpNUiXzj/?igsh=MTBiNjZsZnRiZmhmcw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/348be7f8bd8632b5e6667f9080093ad9c2593013.jpg
ig-DNTnimqxHUG,This song is called :,This is a song called The Big Goodbye,producer,"educational, performance, vibes, about me",https://www.instagram.com/reel/DNTnimqxHUG/?igsh=MW5wbm82c3B3ZzV6bg==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/df8632cd85bbcf457167b22db285eae18a6715bc.jpg
ig-DMcno5zImTT,POV: You're working but ChkChkBoom starts playing,Made this 1 year ago,bailarines,"vibes, relatable, transition hook, performance",https://www.instagram.com/reel/DMcno5zImTT/?igsh=a3U4bDZ4Znoxd3lx,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/f4f0852ea1585b1db5dc3ab10d5c0fbb0b746abc.jpg
ig-DGG_fg-TMAr,,This Valentines Day we let gooo,vocalist/rapper,"vibes, relatable, transition hook, performance",https://www.instagram.com/reel/DGG_fg-TMAr/?igsh=MWYxdzloMzllOHR2NA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c157d872f8658f75a0d0c16d4cd3a7927ed95b1c.jpg
ig-DN5Pl3AgTVJ,,Everyday People,dj,"performance, educational, relatable, vibes",https://www.instagram.com/reel/DN5Pl3AgTVJ/?igsh=MTE1bmpxcTB1MXI4dQ==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/c3b1de507ad748eea119e5de749c95edda90e931.jpg
ig-DIofsL7pg4Q,"It's a song, It's a feeling",50 comments and we drop this,vocalist/rapper,"vibes, performance, storytelling, transition hook",https://www.instagram.com/reel/DIofsL7pg4Q/?igsh=MW83bmVic3g5Nm9rYw==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/bea3eee08995f274bae33393dc28ff0f80ec7b7e.jpg
ig-DNMwvAxMdyZ,Bringing back our old transition,Who remembers it,vocalist/rapper,"performance, transition hook, vibes, educational",https://www.instagram.com/reel/DNMwvAxMdyZ/?igsh=cHc1eGZvM2t3MXo5,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/22fcf5b0b1024c7406a8b00aa489fd926c18eb97.jpg
ig-DKpvv5xuMCO,Walks into HyM,All I need to party,bailarines,"vibes, performance, transition hook",https://www.instagram.com/reel/DKpvv5xuMCO/?igsh=MWZ6dzZyc3UybnIyZA==,,https://fzemsxyrzyssxprewwzs.supabase.co/storage/v1/object/public/ref-thumbs/cc846ae13b45a5fe4aacf42f6205b40ad6d4a936.jpg
